Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0402_1005Metric",161.775000,-110.490000,90.000000,top
"R1","220Ω","R_0402_1005Metric",154.155000,-110.490000,90.000000,top
"R2","220Ω","R_0402_1005Metric",152.885000,-120.650000,-90.000000,top
"R3","220Ω","R_0402_1005Metric",154.155000,-120.650000,-90.000000,top
"R4","220Ω","R_0402_1005Metric",155.425000,-120.650000,-90.000000,top
"R5","220Ω","R_0402_1005Metric",156.695000,-120.650000,-90.000000,top
"R6","220Ω","R_0402_1005Metric",157.965000,-120.650000,-90.000000,top
"R7","220Ω","R_0402_1005Metric",159.235000,-120.650000,-90.000000,top
"R8","220Ω","R_0402_1005Metric",160.505000,-120.650000,-90.000000,top
"R9","10KΩ","R_0402_1005Metric",160.505000,-110.490000,-90.000000,top
"R10","10KΩ","R_0402_1005Metric",157.965000,-110.490000,-90.000000,top
"R11","10KΩ","R_0402_1005Metric",156.695000,-110.490000,-90.000000,top
"U1","74HC595D, 118","SOIC-16_3.9x9.9mm_P1.27mm",157.330000,-115.570000,0.000000,top
